"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,30.12,Electricity / water charges,Physical Number should proposed per School per annum,
,,,30.13,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,30.14,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,30.15,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,30.16,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,30.17,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,30.18,Provision of Rent,Physical Number to be proposed per School,
,,,30.19,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,30.20,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,30.21,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,31,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),,
,,,31.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,31.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,31.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,31.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,31.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,31.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,31.7,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,32,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),,
,,,32.1,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,32.2,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,32.3,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.4,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.5,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.6,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.7,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.8,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,32.9,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,32.10,Electricity / water charges,Physical Number should proposed per School per annum,
,,,32.11,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,32.12,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,32.13,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,32.14,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,32.15,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,32.16,Provision of Rent,Physical Number to be proposed per School,
,,,32.17,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,32.18,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,32.19,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,35,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),,
,,,35.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,35.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,35.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,35.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,36,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),,
,,,36.1,No. of New Hostels (100 Capacity) - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
,,,36.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,36.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,36.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,36.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.7,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.8,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.10,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,36.11,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,36.12,Electricity / water charges,Physical Number should proposed per School per annum,
,,,36.13,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,36.14,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,36.15,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,36.16,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,36.17,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,36.18,Provision of Rent,Physical Number to be proposed per School,
,,,36.19,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,36.20,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,37,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),,
,,,37.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,37.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,37.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,37.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,38,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),,
,,,38.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,38.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,38.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,38.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.5,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.6,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.7,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.8,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.9,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,38.10,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,38.11,Electricity / water charges,Physical Number should proposed per School per annum,
,,,38.12,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,38.13,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,38.14,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,38.15,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,38.16,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,38.17,Provision of Rent,Physical Number to be proposed per School,
,,,38.18,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,38.19,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,41,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),,
,,,41.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,41.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,41.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,41.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,42,,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),,
,,,42.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,42.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,42.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,42.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.5,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.6,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.7,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.8,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.9,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,42.10,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,42.11,Electricity / water charges,Physical Number should proposed per School per annum,
,,,42.12,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,42.13,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,42.14,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,42.15,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,42.16,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,42.17,Provision of Rent,Physical Number to be proposed per School,
,,,42.18,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,42.19,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,Strengthening of Existing Schools,48,,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,,
,,,48.2,BRC / URC,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.3,Additional Classrooms (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,,48.4,Boys Toilets,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,48.5,Girls Toilets (Upto Class VIII),Physical Number should proposed No. of Toilets,1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed. 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.6,Drinking Water (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,48.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,48.8,Electrification (Upto Class VIII),Physical Number should proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.9,Handrails,Physical Number should proposed No. of Schools,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.10,CWSN Toilets (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less),1. Should not be proposed if approved under Samagra Shiksha and whose construction was not completed.  2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School 
,,,48.11,Major Repair,As per  State SORs/CPWD Rate (Which ever is less),1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.12,Furniture (Upto Class VIII),Physical Number should proposed per Students,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.14,Ramps and Handrails,Physical Number to be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,48.15,Building Less Schools (Primary),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,48.16,Dilapidated Building (Primary),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,48.17,Building Less Schools (Upper Primary),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,48.18,Dilapidated Building (Upper Primary),As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,51,,Electrification in Schools (Elementary) - NR,,
,,,51.1,Solar Panel,Physical should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3. Avoid duplicate proposal 4.Must be Government School
,Transport & Escort Facilities,58,,Transport / Escort Facility (Elementary),,
,,,58.1,Urban deprived children/children without adult protection,Physical Number should be proposed No. of Students,
,,,58.2,Children in remote habitation,Physical Number should proposed No of Student,
RTE Entitlements,Reimbursement towards expenditure incurred for 25% of Admision under 12 (1)(c) RTE Act,60,,Reimbursement of Fee,,
,,,60.1,Reimbursement of Fee against 25% admission under Section 12(1)(c) of RTE Act 2009,Subject to upper limit of 20% of AWP&B subject to guidelines issued by MHRD,
,Free Textbooks,61,,Free Text Books,,
,,,61.1,Text Books (Class I - II),Rs.250/- per child,
,,,61.2,Braille Books (Class I II),Rs.250/- per child . Physical Number should proposed No. of Students,Enrolment as per UDISE +
,,,61.3,Large Print Books (Class I II),Rs.250/- per child,
,,,61.4,Text Books (Class III - V),Rs.250/- per child,
,,,61.5,Braille Books (Class III - V),Rs.250/- per child. Physical Number should proposed No. of Students,Enrolment as per UDISE +
,,,61.6,Large Print Books (Class III - V),Rs.250/- per child,
,,,61.7,Text Books (Class VI - VIII),Rs.400/- per child,
,,,61.8,Braille Books (Class VI VIII),Rs.400/- per child Physical Number should proposed No. of Students,Enrolment as per UDISE +
,,,61.9,Large Print Books (Class VI - VIII),Rs.400/- per child,
,Free Uniforms,62,,Uniform,,
,,,62.1,All Girls,Rs. 700/- per child,Enrollment as per UDISE+
,,,62.2,ST Boys,Rs. 700/- per child,Enrollment as per UDISE+
,,,62.3,SC Boys,Rs. 700/- per child,Enrollment as per UDISE+
,,,62.4,BPL Boys,Rs. 700/- per child,Enrollment as per UDISE +
,Special Training of Out of School Children (OoSC),63,,Special Training for OoSC - Non-Residential (Fresh),,
,,,63.1,3 Months (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,63.2,6 Months (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,63.3,9 Months (Non - Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,63.4,12 Month (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,64,,Special Training for OoSC - Residential (Fresh),,
,,,64.1,3 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,,64.2,6 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,,64.3,9 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses Physical Number should proposed in No. of Students",
,,,64.4,12 Month (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses.Physical Number should proposed in No. of Students",
,,65,,Special Training for OoSC  - Non-Residential (Previous year),,
,,,65.1,3 Months (Non-Residential - Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,65.2,6 Months (Non-Residential -Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses.  Physical Number should proposed in No. of Students",
,,,65.3,9 Months (Non - Residential - Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,65.4,12 Month (Non-Residential - Prev Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,66,,Special Training for OoSC  - Residential (Previous year),,
,,,66.1,3 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential course.Physical Number should proposed in No. of Students",
,,,66.2,6 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses  Physical Number should proposed in No. of Students",
,,,66.3,9 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,,66.4,12 Month (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,67,,Intervention for Migrant Children (Non-Residential),,
,,,67.1,3 Months (Non-Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,67.2,6 Months (Non-Residential -Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,67.3,9 Months (Non - Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,,67.4,12 Month (Non-Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
,,68,,Intervention for Migrant Children (Residential),,
,,,68.1,3 Months (Residential -Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,,68.2,6 Months (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses  Physical Number should proposed in No. of Students",
,,,68.3,9 Months (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,,68.4,12 Month (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
,,95,,Coverages of Religious Insitiutions,,
,,,95.1,Maqtab & Madarsas (New),Physical Number  to be proposed per School,
,,,95.2,Maqtab & Madarsas (Previous),Physical Number  to be proposed per School,
,,,95.3,Other Religious Institutions (New),,
,,,95.4,Other Religious Institutions (Previous),,
,Support to SCPCR,70,,Support to SCPCR,,
,,,70.1,Support to SCPCR (Upto Highest Class VIII),@ Rs. 50 per School,
,Community Mobilization,98,,Community Mobilization (Elementary),,
,,,98.1,Training of SMC/ SDMC,Physical Number should be proposed No. of School,
,,,98.4,Community Mobilization,Up to @Rs 1500 per school subject to specific plan,
Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",71,,Innovation Projects - (NR) (Elementary),,
,,,71.12,ICT Facility to BRCs,,
,,,71.13,Teacher Resource Package  (Primary),,
,,72,,Innovation Projects - (Elementary) (Recurring),,
,,,72.1,Fund for Safety and Security at School Level,Physical Number should proposed per School,
,,,72.2,Holistic Report Card for Students (Elementary ),@ Rs. 5/- per child (Govt. & Govt. Aided Schools). Physical Number should proposed No. of  Students,
,,,72.3,Orientation Programme for Teachers on Safety and Security,As per State. Physical Number to be proposed per Teacher,
,,,72.4,Shaala Siddhi,Physical should be proposed per School,
,,,72.5,Teacher IdCards,Physical Should be proposed per Teacher,
,,,72.6,Youth & Eco Club,Physical Number should be proposed No. of School,
,,,72.7,Youth & Eco Club(stand alone primary only schools),Physical Number should be proposed No. of School,
,,,72.9,ICT Lab to BRCs (Recurring),,
,,,72.10,Orientation /Training of General Teachers on IE,,
,,88,,Experiential Learning (Elementary),,
,,,88.1,Rangotsav,Physical Number to be proposed per School,
,,93,,LEP (Class VI - VIII),,
,,,93.1,Learning Enhancement/Enrichment Programme (Remedial Teaching),Physical Quantity should be Number of Students (Maximum of 20% of total students enrolled),
,NIPUN Bharat Mission,86,,Nipun Bharat Mission (FLN),,
,,,86.1,Teaching Learning Materials for implementation of Innovative pedagogies,Rs. 500/- per Child,
,,,86.2,Teacher Resource Material/Activity Handbook,Rs. 150/- per teacher,
,,,86.3,Capacity building of Teachers of Grades I to V (New),Rs. 300/- per day per teacher for 10 days,
,,,86.4,"Independent, periodic and holistic assessment of Students",Upto Rs. 10 lakh - 20 Lakh per district,
,,,86.6,Foundational Learning Study (FLS),,
,,87,,Formation of PMU (Elementary),,
,,,87.1,State Level,Upto Rs. 25 lakh to 1 Crore per State,
,,,87.2,District Level,Upto Rs 6 lakh to 24 lakh per district . Physical No. should be proposed per District,
,Assessment at National & State level,102,,Assessment at State level (Elementary),,
