bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
162,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.1,No. of New NSCBA Schools (<=100 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
163,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
164,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
165,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
166,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
167,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.6,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
168,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
169,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
170,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.9,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
171,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
172,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
173,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
174,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
175,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.14,Electricity / water charges,Physical Number should proposed per School per annum,
176,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
177,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
178,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
179,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
180,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
181,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.2,Provision of Rent,Physical Number to be proposed per School,
182,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
183,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
184,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),,,,
185,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
186,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
187,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
188,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.4,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
189,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.5,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
190,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.6,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
191,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),,,,
192,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.1,No. of New Hostels (50 Capacity) - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
193,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
194,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
195,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
196,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
197,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.7,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
198,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.8,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
199,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
200,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.1,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
201,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.11,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
202,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.12,Electricity / water charges,Physical Number should proposed per School per annum,
203,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.13,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
204,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.14,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
205,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.15,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
206,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.16,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
207,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.17,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
208,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.18,Provision of Rent,Physical Number to be proposed per School,
209,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.19,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
210,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.2,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
211,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.21,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
212,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),,,,
213,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
214,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
215,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
216,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
217,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
218,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
219,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.7,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
220,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),,,,
221,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.1,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
222,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.2,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
223,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.3,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
224,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.4,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
225,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.5,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
226,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.6,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
227,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.7,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
228,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.8,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
229,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.9,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
230,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.1,Electricity / water charges,Physical Number should proposed per School per annum,
231,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.11,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
232,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.12,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
233,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.13,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
234,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.14,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
235,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.15,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
236,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.16,Provision of Rent,Physical Number to be proposed per School,
237,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.17,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
238,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.18,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
239,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,32,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),32.19,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
240,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,35,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),,,,
241,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,35,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),35.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
242,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,35,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),35.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
243,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,35,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),35.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
244,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,35,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),35.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
245,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),,,,
246,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.1,No. of New Hostels (100 Capacity) - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
247,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
248,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
249,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
