Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
254,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.6,1 Full Time Accountant,,
255,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.7,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
256,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.8,1 Head Cook,,
257,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.9,2 Assistant Cook,,
258,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.1,Specific Skill training,,
259,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.11,Electricity / water charges,,
260,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.12,Medical care/contingencies,,
261,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.13,Maintenance,,
262,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.14,Miscellaneous,,
263,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.15,Preparatory camps,,
264,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.16,P.T.A / school functions,,
265,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.17,Provision of Rent,,
266,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.18,Capacity Building,,
267,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.19,Physical / Self Defence Training,,
268,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.1,Furniture/ Equipment (including kitchen),,
269,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.2,TLM and equipment including library books,,
270,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.3,Bedding (new),,
271,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.4,Replacement of bedding (once in 3 years),,
272,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.1,Food/Lodging per child per month,,
273,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.2,Stipend   per child per month,,
274,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.3,"Supplementary TLM, Stationery and other educational material",,
275,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.4,1 Warden,,
276,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.5,3 Part time teachers,,
277,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.6,1 Full Time Accountant,,
278,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.7,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
279,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.8,1 Head Cook,,
280,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.9,2 Assistant Cook,,
281,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.1,Specific Skill training,,
282,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.11,Electricity / water charges,,
283,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.12,Medical care/contingencies,,
284,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.13,Maintenance,,
285,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.14,Miscellaneous,,
286,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.15,Preparatory camps,,
287,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.16,P.T.A / school functions,,
288,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.17,Provision of Rent,,
289,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.18,Capacity Building,,
290,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),42.19,Physical / Self Defence Training,,
291,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.2,BRC / URC,As per  State SORs/CPWD Rate (Which ever is less),
292,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.3,Additional Classrooms (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less). Physcial Number should proposed No. of ACR,
293,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.4,Boys Toilets,As per  State SORs/CPWD Rate (Which ever is less),
294,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.5,Girls Toilets (Upto Class VIII),Physical Number should proposed No. of Toilets,
295,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.6,Drinking Water (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less),
296,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
297,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.8,Electrification (Upto Class VIII),Physical Number should proposed per School,
298,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.9,Handrails,Physical Number should proposed No. of Schools,
299,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.1,CWSN Toilets (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less),
300,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.11,Major Repair,As per  State SORs/CPWD Rate (Which ever is less),
301,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.12,Furniture (Upto Class VIII),Physical Number should proposed per Students,
302,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.14,Ramps and Handrails,Physical Number to be proposed per School,
303,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.15,Building Less Schools (Primary),As per  State SORs/CPWD Rate (Which ever is less),
304,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.16,Dilapidated Building (Primary),As per  State SORs/CPWD Rate (Which ever is less),
305,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.17,Building Less Schools (Upper Primary),As per  State SORs/CPWD Rate (Which ever is less),
306,Elementary Education,Access & Retention,Strengthening of Existing Schools,48,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,48.18,Dilapidated Building (Upper Primary),As per  State SORs/CPWD Rate (Which ever is less),
307,Elementary Education,Access & Retention,Strengthening of Existing Schools,51,Electrification in Schools (Elementary) - NR,51.1,Solar Panel,As per State Norms,
308,Elementary Education,Access & Retention,Transport & Escort Facilities,58,Transport / Escort Facility (Elementary),58.1,Urban deprived children/children without adult protection,Transport facility may be provided up to an average cost @ ? 6000/ per child per annum up to Class X.,
309,Elementary Education,Access & Retention,Transport & Escort Facilities,58,Transport / Escort Facility (Elementary),58.2,Children in remote habitation,,
310,Elementary Education,RTE Entitlements,Reimbursement towards expenditure incurred for 25% of Admision under 12 (1)(c) RTE Act,60,Reimbursement of Fee,60.1,Reimbursement of Fee against 25% admission under Section 12(1)(c) of RTE Act 2009,Subject to upper limit of 20% of AWP&B subject to guidelines issued by MHRD,
311,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.1,Text Books (Class I - II),"Provision for textbooks to all children in Government/Local Body and Government aided schools, including Madarsas desirous of introducing the State curriculum, at an average cost of ? 250/- per child at primary level and ? 400/- per child at upper primary level. 
Primers/Textbooks developed for tribal languages with bridging materials to facilitate a transition to the State Language of instruction and English, would be eligible for textbooks for classes I and II within the ceiling of ? 200/- per child",
312,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.2,Braille Books (Class I II),,
313,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.3,Large Print Books (Class I II),,
314,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.4,Text Books (Class III - V),,
315,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.5,Braille Books (Class III - V),,
316,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.6,Large Print Books (Class III - V),,
317,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.7,Text Books (Class VI - VIII),,
318,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.8,Braille Books (Class VI VIII),,
319,Elementary Education,RTE Entitlements,Free Textbooks,61,Free Text Books,61.9,Large Print Books (Class VI - VIII),,
320,Elementary Education,RTE Entitlements,Free Uniforms,62,Uniform,62.1,All Girls,"Two sets of uniforms for all girls, and children belonging to SC/ST/BPL families’ in Government schools up to class VIII at an average cost of ? 600/- per child per annum",
321,Elementary Education,RTE Entitlements,Free Uniforms,62,Uniform,62.2,ST Boys,,
322,Elementary Education,RTE Entitlements,Free Uniforms,62,Uniform,62.3,SC Boys,,
323,Elementary Education,RTE Entitlements,Free Uniforms,62,Uniform,62.4,BPL Boys,,
324,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),63,Special Training for OoSC - Non-Residential (Fresh),63.1,3 Months (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
325,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),63,Special Training for OoSC - Non-Residential (Fresh),63.2,6 Months (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
326,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),63,Special Training for OoSC - Non-Residential (Fresh),63.3,9 Months (Non - Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
327,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),63,Special Training for OoSC - Non-Residential (Fresh),63.4,12 Month (Non-Residential - Fresh),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
328,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),64,Special Training for OoSC - Residential (Fresh),64.1,3 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
329,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),64,Special Training for OoSC - Residential (Fresh),64.2,6 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
330,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),64,Special Training for OoSC - Residential (Fresh),64.3,9 Months (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses Physical Number should proposed in No. of Students",
331,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),64,Special Training for OoSC - Residential (Fresh),64.4,12 Month (Residential - Fresh),"Up to Rs20,000/- per child per annum for residential courses.Physical Number should proposed in No. of Students",
332,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),65,Special Training for OoSC  - Non-Residential (Previous year),65.1,3 Months (Non-Residential - Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
333,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),65,Special Training for OoSC  - Non-Residential (Previous year),65.2,6 Months (Non-Residential -Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses.  Physical Number should proposed in No. of Students",
334,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),65,Special Training for OoSC  - Non-Residential (Previous year),65.3,9 Months (Non - Residential - Prev. Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
335,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),65,Special Training for OoSC  - Non-Residential (Previous year),65.4,12 Month (Non-Residential - Prev Year),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
336,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),66,Special Training for OoSC  - Residential (Previous year),66.1,3 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential course.Physical Number should proposed in No. of Students",
337,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),66,Special Training for OoSC  - Residential (Previous year),66.2,6 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses  Physical Number should proposed in No. of Students",
338,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),66,Special Training for OoSC  - Residential (Previous year),66.3,9 Months (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
339,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),66,Special Training for OoSC  - Residential (Previous year),66.4,12 Month (Residential - Prev. Year),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
340,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),67,Intervention for Migrant Children (Non-Residential),67.1,3 Months (Non-Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
341,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),67,Intervention for Migrant Children (Non-Residential),67.2,6 Months (Non-Residential -Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
342,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),67,Intervention for Migrant Children (Non-Residential),67.3,9 Months (Non - Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
343,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),67,Intervention for Migrant Children (Non-Residential),67.4,12 Month (Non-Residential - Migrant),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
344,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),68,Intervention for Migrant Children (Residential),68.1,3 Months (Residential -Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
345,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),68,Intervention for Migrant Children (Residential),68.2,6 Months (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses  Physical Number should proposed in No. of Students",
346,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),68,Intervention for Migrant Children (Residential),68.3,9 Months (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
347,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),68,Intervention for Migrant Children (Residential),68.4,12 Month (Residential - Migrant),"Up to Rs20,000/- per child per annum for residential courses. Physical Number should proposed in No. of Students",
348,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),95,Coverages of Religious Insitiutions,95.1,Maqtab & Madarsas (New),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
349,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),95,Coverages of Religious Insitiutions,95.2,Maqtab & Madarsas (Previous),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
350,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),95,Coverages of Religious Insitiutions,95.3,Other Religious Institutions (New),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
351,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),95,Coverages of Religious Insitiutions,95.4,Other Religious Institutions (Previous),"Up to Rs 6,000/- per child per annum for non-residential courses. Physical Number should proposed in No. of Students",
352,Elementary Education,RTE Entitlements,Support to SCPCR,70,Support to SCPCR,70.1,Support to SCPCR (Upto Highest Class VIII),provision of ? 50 per elementary School,
353,Elementary Education,RTE Entitlements,Community Mobilization,98,Community Mobilization (Elementary),98.1,Training of SMC/ SDMC,Up to @ ? 3000 per school for Government Schools subject to a specific plan,
354,Elementary Education,RTE Entitlements,Community Mobilization,98,Community Mobilization (Elementary),98.4,Community Mobilization,Up to @Rs 1500 per school subject to specific plan,
355,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",71,Innovation Projects - (NR) (Elementary),71.12,ICT Facility to BRCs,Upto Rs. 6.40 lakh per BRC,
356,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",72,Innovation Projects - (Elementary) (Recurring),72.2,Holistic Report Card for Students (Elementary ),@ Rs. 5/- per child (Govt. & Govt. Aided Schools). Physical Number should proposed No. of  Students,
357,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",72,Innovation Projects - (Elementary) (Recurring),72.6,Youth & Eco Club,Upto Rs. 15000/- per school,
358,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",72,Innovation Projects - (Elementary) (Recurring),72.7,Youth & Eco Club(stand alone primary only schools),Upto Rs. 5000/- per school,
359,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",72,Innovation Projects - (Elementary) (Recurring),72.9,ICT Lab to BRCs (Recurring),Upto Rs. 6.40 lakh per BRC (One time grant in 2022-23 under Learning Recovery Package),
360,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",88,Experiential Learning (Elementary),88.1,Rangotsav,No Norms (On an average @ Rs. 500 per school as per state specific plan for joyful learning  ,
361,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",93,LEP (Class VI - VIII),93.1,Learning Enhancement/Enrichment Programme (Remedial Teaching),Physical Quantity should be Number of Students (Maximum of 25% of total students enrolled),
362,Elementary Education,Quality Interventions,NIPUN Bharat Mission,86,Nipun Bharat Mission (FLN),86.1,Teaching Learning Materials for implementation of Innovative pedagogies,Rs. 500/- per Child,
363,Elementary Education,Quality Interventions,NIPUN Bharat Mission,86,Nipun Bharat Mission (FLN),86.2,Teacher Resource Material/Activity Handbook,Rs. 150/- per teacher,
364,Elementary Education,Quality Interventions,NIPUN Bharat Mission,86,Nipun Bharat Mission (FLN),86.3,Capacity building of Teachers of Grades I to V (New),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
365,Elementary Education,Quality Interventions,NIPUN Bharat Mission,86,Nipun Bharat Mission (FLN),86.4,"Independent, periodic and holistic assessment of Students",Upto Rs. 10 lakh - 20 Lakh per district,
366,Elementary Education,Quality Interventions,NIPUN Bharat Mission,87,Formation of PMU (Elementary),87.1,State Level,Upto Rs. 25 lakh to 1 Crore per the size of the State,
367,Elementary Education,Quality Interventions,NIPUN Bharat Mission,87,Formation of PMU (Elementary),87.2,District Level,Upto Rs 6 lakh to 24 lakh per district . Physical No. should be proposed per District,
368,Elementary Education,Quality Interventions,Assessment at National & State level,102,Assessment at State level (Elementary),102.1,Assessment at State level,Upto @Rs. 10 to 20 lakhs per district depending upon the size of the districts and states.,
369,Elementary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,106,In-Service Training (Elementary),106.13,Teachers Class VI to VII(Government Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
370,Elementary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,106,In-Service Training (Elementary),106.14,Teachers Class VI to VIII(Government Aided Schools),Up to Rs. 500/- per day per teacher as per teacher training norms. Upto 10 days of Blended Refresher In-service blended training for teachers ,
371,Elementary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,106,In-Service Training (Elementary),,Training for Educational Administrators (Elementary),"Upto 5 days Blended Training of Educational Administrators, at least 3 days of which will be through online mode, @ up to ? 1000 per person per day",
372,Elementary Education,Quality Interventions,Training for In-service Teacher and Head Teachers,106,In-Service Training (Elementary),106.15,Training of Resource Persons  & Master Trainers   (Elementary),"Upto 10 days Blended Refresher training for all Resource Persons, Master Trainers, BRC and CRC faculty, DIET faculties and coordinators designated as RPs, @ up to 1000/- per person per day.",
373,Elementary Education,Quality Interventions,Composite School Grant,118,Annual Grant   (up to Highest Class VIII),118.1,School Grant - (Enrol > 30 and  <=100 ),Rs. 25000/-(including at-least Rs 2500 for swachhta action plan) having enrolment <= 100,
374,Elementary Education,Quality Interventions,Composite School Grant,118,Annual Grant   (up to Highest Class VIII),118.2,School Grant - (Enrol > 100 and <= 250 ),"Rs. 50,000/- (including at-leastRs. 5000 for swachhta action plan) having enrolment >100 and <=250",
375,Elementary Education,Quality Interventions,Composite School Grant,118,Annual Grant   (up to Highest Class VIII),118.3,School Grant - (Enrol > 250 and <= 1000 ),"Rs. 75,000/- (including at-leastRs 7500 for swachhta action plan) having enrolment >250 and <=1000",
376,Elementary Education,Quality Interventions,Composite School Grant,118,Annual Grant   (up to Highest Class VIII),118.4,School Grant - (Enrol > 1000),"Rs. 100,000/-(including at-leastRs. 10000 for swachhta action plan) ) having enrolment > 1000",
377,Elementary Education,Quality Interventions,Composite School Grant,118,Annual Grant   (up to Highest Class VIII),118.5,School Grant (Enrol >= 1 and <= 30),"Rs. 10,000/- (including at-leastRs 1000 for swachhta action plan) having enrolment >1 and < 15",
378,Elementary Education,Quality Interventions,Library Grants,120,Library Grant  (upto Highest Class VIII),120.1,Upper Primary Schools,"Up to @ Rs. 13,000/- for Upper Primart Schools.",
379,Elementary Education,Quality Interventions,Library Grants,120,Library Grant  (upto Highest Class VIII),120.2,Primary Schools,"Up to @ Rs. 5,000/- for Primary Schools",
380,Elementary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,124,Rashtriya Aavishkar Abhiyaan  (Elementary),124.1,Science Exhibition / Book Fair,No Norms. Depends upon the State/UT specific proposal ,
381,Elementary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,124,Rashtriya Aavishkar Abhiyaan  (Elementary),124.2,Quiz Competition,No Norms. Depends upon the State/UT specific proposal ,
382,Elementary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,124,Rashtriya Aavishkar Abhiyaan  (Elementary),124.3,Exposure visit outside State,No Norms. Depends upon the State/UT specific proposal ,
383,Elementary Education,Quality Interventions,Rastriya Aavishkar Abhiyan,124,Rashtriya Aavishkar Abhiyaan  (Elementary),124.4,Science Kit,No Norms. Depends upon the State/UT specific proposal ,
